,year,manufacturer,model,avg_rating,count,id
377,2016,bmw,3 series,4.421052632,38,377
378,2017,bmw,3 series,3.833333333,18,378
379,2018,bmw,3 series,4.333333333,6,379
380,2014,bmw,4 series,4.759615385,13,380
381,2015,bmw,4 series,4.488636364,11,381
382,2016,bmw,4 series,4.863636364,22,382
383,2017,bmw,4 series,4.428571429,7,383
384,2018,bmw,4 series,4.666666667,6,384
385,1997,bmw,5 series,4.545634921,63,385
386,1998,bmw,5 series,4.560344828,58,386
387,1999,bmw,5 series,4.5875,70,387
388,2000,bmw,5 series,4.542207792,77,388
389,2001,bmw,5 series,4.705592105,76,389
390,2002,bmw,5 series,4.578125,80,390
391,2003,bmw,5 series,4.679012346,81,391
392,2004,bmw,5 series,4.365671642,67,392
393,2005,bmw,5 series,4.385714286,70,393
394,2006,bmw,5 series,4.547752809,89,394
395,2007,bmw,5 series,4.599683544,79,395
396,2008,bmw,5 series,4.123546512,86,396
397,2009,bmw,5 series,4.224358974,39,397
398,2010,bmw,5 series,4.519067797,59,398
399,2011,bmw,5 series,3.862341772,79,399
400,2012,bmw,5 series,3.6875,30,400
401,2013,bmw,5 series,4.202380952,21,401
402,2014,bmw,5 series,4.705882353,17,402
403,2015,bmw,5 series,4.730263158,19,403
404,2016,bmw,5 series,4.235294118,17,404
405,2017,bmw,5 series,4.142857143,7,405
406,2018,bmw,5 series,4.409090909,22,406
407,2004,bmw,6 series,4.752358491,53,407
408,2005,bmw,6 series,4.664930556,72,408
409,2006,bmw,6 series,4.771341463,41,409
410,2007,bmw,6 series,4.505681818,22,410
411,2008,bmw,6 series,4.677083333,12,411
412,2009,bmw,6 series,4.916666667,3,412
413,2010,bmw,6 series,4.975,5,413
414,2012,bmw,6 series,4.225,10,414
415,2013,bmw,6 series,4.4375,4,415
416,2014,bmw,6 series,3,4,416
417,2015,bmw,6 series,4,2,417
418,2016,bmw,6 series,4.857142857,7,418
419,2017,bmw,6 series,5,2,419
420,2018,bmw,6 series,5,3,420
421,1997,bmw,7 series,4.446428571,35,421
422,1998,bmw,7 series,4.429924242,66,422
423,1999,bmw,7 series,4.678571429,21,423
424,2000,bmw,7 series,4.538888889,45,424
425,2001,bmw,7 series,4.669230769,65,425
426,2002,bmw,7 series,4.324074074,54,426
427,2003,bmw,7 series,4.45990566,53,427
428,2004,bmw,7 series,4.399122807,57,428
429,2005,bmw,7 series,4.63372093,43,429
430,2006,bmw,7 series,4.358928571,70,430
431,2007,bmw,7 series,4.618055556,18,431
432,2008,bmw,7 series,4.3375,20,432
433,2009,bmw,7 series,4.669642857,14,433
434,2010,bmw,7 series,3.833333333,15,434
435,2011,bmw,7 series,4.243055556,18,435
436,2012,bmw,7 series,3.977272727,11,436
437,2013,bmw,7 series,5,4,437
438,2014,bmw,7 series,4.75,4,438
439,2015,bmw,7 series,4.583333333,6,439
440,2016,bmw,7 series,4.0625,16,440
441,2017,bmw,7 series,4,5,441
442,2018,bmw,7 series,5,4,442
443,1997,bmw,8 series,4.083333333,3,443
444,2010,bmw,activehybrid,4.833333333,3,444
445,2011,bmw,activehybrid,5,1,445
446,2003,bmw,alpina,4.854166667,6,446
447,2007,bmw,alpina,4.90625,8,447
448,2008,bmw,alpina,4.9375,2,448
449,2011,bmw,alpina,4.4375,2,449
450,2012,bmw,alpina,3.75,1,450
451,2014,bmw,alpina,4.666666667,3,451
452,2015,bmw,alpina,5,1,452
453,2018,bmw,alpina,5,2,453
454,2014,bmw,i3,3.604166667,18,454
455,2015,bmw,i3,4.433333333,15,455
456,2016,bmw,i3,4.777777778,9,456
457,2017,bmw,i3,4.714285714,7,457
458,2018,bmw,i3,4.75,4,458
459,2014,bmw,i8,5,1,459
460,2015,bmw,i8,5,2,460
461,2016,bmw,i8,3.666666667,3,461
462,1998,bmw,m ,4.7875,10,462
463,1999,bmw,m ,4.894230769,13,463
464,2000,bmw,m ,4.647321429,28,464
465,2001,bmw,m ,4.75,13,465
466,2002,bmw,m ,4.838235294,17,466
467,2006,bmw,m ,4.7375,20,467
468,2016,bmw,m2,4,1,468
469,2017,bmw,m2,5,3,469
470,1997,bmw,m3,4.71,25,470
471,1998,bmw,m3,4.75390625,32,471
472,1999,bmw,m3,4.677419355,31,472
473,2001,bmw,m3,4.894230769,13,473
474,2002,bmw,m3,4.718023256,86,474
475,2003,bmw,m3,4.696428571,63,475
476,2004,bmw,m3,4.753333333,75,476
477,2005,bmw,m3,4.706730769,52,477
478,2006,bmw,m3,4.79,25,478
479,2008,bmw,m3,4.654761905,21,479
480,2009,bmw,m3,4.714285714,14,480
481,2010,bmw,m3,4.645833333,6,481
482,2011,bmw,m3,4.55,10,482
483,2012,bmw,m3,4.375,1,483
484,2013,bmw,m3,3.9375,2,484
485,2015,bmw,m3,4.875,2,485
486,2016,bmw,m3,5,3,486
487,2017,bmw,m3,5,1,487
488,2018,bmw,m3,5,1,488
489,2015,bmw,m4,4.328125,8,489
490,2016,bmw,m4,4.714285714,7,490
491,2017,bmw,m4,4.5,2,491
492,2018,bmw,m4,4.5,2,492
493,2000,bmw,m5,4.806818182,33,493
494,2001,bmw,m5,4.779761905,21,494
495,2002,bmw,m5,4.772435897,39,495
496,2003,bmw,m5,4.797413793,29,496
497,2006,bmw,m5,4.696969697,33,497
498,2007,bmw,m5,4.163461538,13,498
499,2008,bmw,m5,4.708333333,12,499
500,2010,bmw,m5,4.5,3,500
501,2013,bmw,m5,5,3,501
502,2014,bmw,m5,4,1,502
503,2006,bmw,m6,4.660714286,7,503
504,2007,bmw,m6,4.673611111,18,504
505,2008,bmw,m6,4.347222222,9,505
506,2009,bmw,m6,4,3,506
507,2010,bmw,m6,4.5,2,507
508,2013,bmw,m6,5,4,508
509,2014,bmw,m6,4.9375,2,509
510,2016,bmw,m6,5,2,510
511,2013,bmw,x1,4.544117647,34,511
512,2014,bmw,x1,3.97,25,512
513,2015,bmw,x1,3.96875,16,513
514,2016,bmw,x1,4.542857143,35,514
515,2017,bmw,x1,3.842105263,19,515
516,2018,bmw,x1,5,4,516
517,2018,bmw,x2,3,1,517
518,2004,bmw,x3,4.457142857,70,518
